Beseda;Pomen_ID;Razlaga;Originalni_Zgled;Poved
moč;1282;delavec, uslužbenec:;nastopilo je nekaj novih moči;V podjetju je pred kratkim nastopilo nekaj novih moči, ki so takoj prevzele odgovorne naloge.
moč;1282;delavec, uslužbenec:;nastopilo je nekaj novih moči;Ko je nastopilo nekaj novih moči, smo opazili svež pristop k reševanju tehničnih izzivov.
moč;1282;delavec, uslužbenec:;nastopilo je nekaj novih moči;V oddelku je nastopilo nekaj novih moči, ki so se hitro vključile v ekipno dinamiko.
moč;1282;delavec, uslužbenec:;nastopilo je nekaj novih moči;Po zadnjem zaposlitvenem klicu je nastopilo nekaj novih moči, ki prinašajo različne strokovne izkušnje.
moč;1282;delavec, uslužbenec:;dobili so novo učno moč;Šola je nedavno dobila novo učno moč, ki bo vodila projekt digitalizacije pouka.
moč;1282;delavec, uslužbenec:;dobili so novo učno moč;Ko smo dobili novo učno moč, se je takoj izboljšala kakovost poučevanja v razredih.
moč;1282;delavec, uslužbenec:;dobili so novo učno moč;Direktor je sporočil, da so dobili novo učno moč, ki bo odgovorna za razvoj učnih načrtov.
moč;1282;delavec, uslužbenec:;dobili so novo učno moč;Naš oddelek je poleti dobil novo učno moč, ki bo organizirala dodatne izobraževalne delavnice.
moč;1282;delavec, uslužbenec:;dobili so novo učno moč;Ali ste že spoznali novo učno moč, ki je prišla v našo institucijo zadnji teden?
moč;1283;delo, opravljeno v časovni enoti:;meriti moč;Jaz sem včeraj meril moč motorja z dinamometrom.
moč;1283;delo, opravljeno v časovni enoti:;meriti moč;Ali lahko otroka naučimo, kako pravilno meriti moč električnega generatorja?
moč;1283;delo, opravljeno v časovni enoti:;meriti moč;V laboratoriju bomo meritve moči izvajali vsak dan.
moč;1283;delo, opravljeno v časovni enoti:;meriti moč;Starejši inženir je že dolgo meril moč vodnih turbin.
moč;1283;delo, opravljeno v časovni enoti:;meriti moč;Moj brat se je odločil meriti moč svojega kolesa med tekmovanjem.
moč;1283;delo, opravljeno v časovni enoti:;enota za moč;Standardna enota za moč v mednarodnem sistemu je vat.
moč;1283;delo, opravljeno v časovni enoti:;enota za moč;Učitelj je učencem razložil, zakaj je kilovat bolj primeren kot konjska moč kot enota za moč v industriji.
moč;1283;delo, opravljeno v časovni enoti:;enota za moč;Ko sem kupoval nov grelnik, sem pozorno preveril, katera enota za moč je navedena na etiketi.
moč;1283;delo, opravljeno v časovni enoti:;enota za moč;V fizikalnem poskusu smo uporabili milivat kot natančno enoto za moč.
moč;1283;delo, opravljeno v časovni enoti:;enota za moč;Zanimivo je, da se v nekaterih državah še vedno uporablja enota za moč, imenovana 'konjska moč'.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;silna moč ga je vlekla od okna;Ko je zaslišal klic, ga je silna moč vlekla od okna, kot da bi ga želela izvreči iz varnega zavetja.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;silna moč ga je vlekla od okna;Včeraj je na strehi terasi čutil, da ga je silna moč vlekla od okna, in se je moral upreti, da ne pade.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;silna moč ga je vlekla od okna;Mlada deklica je opazila, da jo silna moč vlekla od okna, a jo je z nasmehom uspelo odvrniti.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;silna moč ga je vlekla od okna;V starodavnem gradivskem podstrešju je star kovač pripovedoval, kako ga je silna moč vlekla od okna med nevihtnim Viharom.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;silna moč ga je vlekla od okna;Ko je veter zapihal skozi razpoke, se je zdel, da ga je silna moč vlekla od okna, zato je zaprl vse okenske krilce.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;skrivnostna moč ga je vrgla ob tla;V temni jami je občutil, kako skrivnostna moč ga je vrglo ob tla, in se je spraševal, kdo je za tem.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;skrivnostna moč ga je vrgla ob tla;Ko je izginil svetlobni žarek, je skrivnostna moč, ga je vrglo ob tla, kar je povzročilo tresenje tal.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;skrivnostna moč ga je vrgla ob tla;Stari čarovnik je dejal, da je skrivnostna moč, ga je vrglo ob tla, ker je prekršil prepovedano čarovnijo.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;skrivnostna moč ga je vrgla ob tla;Po koncu predstave je občinstvo zaslišalo šepet, da je skrivnostna moč, ga je vrglo ob tla, in se je vse pretreslo.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;skrivnostna moč ga je vrgla ob tla;Njen brat je v paniki ugotovil, da ga je skrivnostna moč vrgla ob tla, ko je stopil na razpokan most.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;padali so, kot bi jim nevidna moč izpodsekavala noge;Ko so se na ledenem vrhu zaleteli, so padali, kot bi jim nevidna moč izpodsekavala noge.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;padali so, kot bi jim nevidna moč izpodsekavala noge;V starodavnem turnirju so tekmovalci padali, kot bi jim nevidna moč izpodsekavala noge, ko so se trudili premagati skrite ovire.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;padali so, kot bi jim nevidna moč izpodsekavala noge;Po razpadu mostu so delavci padali, kot bi jim nevidna moč izpodsekavala noge, in so se izpodrinili na varno.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;padali so, kot bi jim nevidna moč izpodsekavala noge;V Hodorju je režiser prikazal prizor, kjer so žrtve padali, so, kot bi jim nevidna moč izpodsekavala noge, kar je ustvarilo napetost.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;padali so, kot bi jim nevidna moč izpodsekavala noge;Ko so se otroci igrali na travniku, padali so, kot bi jim nevidna moč izpodsekavala noge, in so se smejali, ko so se spet pobrali.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;moči zemlje;Stare legende govorijo o skritih moči zemlje, ki varujejo zaklade pod površjem.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;moči zemlje;Po potresu so znanstveniki začeli raziskovati moči zemlje, da bi razumeli njeno gibanje.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;moči zemlje;Moj oče je verjel v moči zemlje, ki lahko ozdravi poškodovane korenine.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;moči zemlje;V poletni noči sem čutil, kako me obdajajo moči zemlje, ki mi nudijo mir in stabilnost.
moč;1284;kar na kaj deluje zlasti v določeni smeri:;moči zemlje;Arheologi so odkrili, da so moči zemlje vplivale na oblikovanje civilizacij že pred tisočletji.
moč;1285;kar omogoča komu določeno dejavnost:;zaupati v svojo ustvarjalno in miselno moč;Moj brat se je naučil zaupati v svojo ustvarjalno in miselno moč, ko je začel pisati poezijo.
moč;1285;kar omogoča komu določeno dejavnost:;zaupati v svojo ustvarjalno in miselno moč;Učiteljica je učencem svetovala, naj zaupajo v svojo ustvarjalno in miselno moč, da premagajo pisateljske ovire.
moč;1285;kar omogoča komu določeno dejavnost:;zaupati v svojo ustvarjalno in miselno moč;Po dolgem razmišljanju je odločila, da bo zaupala v svojo ustvarjalno in miselno moč pri oblikovanju novih projektov.
moč;1285;kar omogoča komu določeno dejavnost:;zaupati v svojo ustvarjalno in miselno moč;Starejša raziskovalka je v svojih zapiskih zapisala, kako pomembno je zaupati v svojo ustvarjalno in miselno moč pri inovacijah.
moč;1285;kar omogoča komu določeno dejavnost:;zaupati v svojo ustvarjalno in miselno moč;Ko sem se soočal z ustvarjalnim blokom, sem se spomnila, da moram zaupati v svojo ustvarjalno in miselno moč.
moč;1285;kar omogoča komu določeno dejavnost:;spoznavna moč človeka;Spoznavna moč človeka se pokaže, ko se spopade z novimi znanstvenimi izzivi.
moč;1285;kar omogoča komu določeno dejavnost:;spoznavna moč človeka;Starejša učiteljica je poudarila, da spoznavna moč človeka omogoča razumevanje kompleksnih družbenih pojavov.
moč;1285;kar omogoča komu določeno dejavnost:;spoznavna moč človeka;V tem poskusu je jasno razvidna spoznavna moč človeka, ki hitro najde vzorec v podatkih.
moč;1285;kar omogoča komu določeno dejavnost:;spoznavna moč človeka;Filozof je trdil, da spoznavna moč človeka presega meje tradicionalnega znanja.
moč;1285;kar omogoča komu določeno dejavnost:;spoznavna moč človeka;Ko so otroci raziskovali naravo, so odkrili, kako spoznavna moč človeka pripomore k njihovemu učenju.
moč;1285;kar omogoča komu določeno dejavnost:;stvariteljska moč mu pojema;Njegova roka je odkrivala, kako stvariteljska moč mu pojema nov svet umetnosti.
moč;1285;kar omogoča komu določeno dejavnost:;stvariteljska moč mu pojema;Mlada pisateljica je začutila, da ji stvariteljska moč mu pojema vse nevidne zgodbe.
moč;1285;kar omogoča komu določeno dejavnost:;stvariteljska moč mu pojema;V delavnici smo opazili, kako stvariteljska moč mu pojema kompleksnost tehničnih rešitev.
moč;1285;kar omogoča komu določeno dejavnost:;stvariteljska moč mu pojema;Starejši slikar je po letih prakse spoznal, da stvariteljska moč mu pojema tudi najmanjše detajle.
moč;1285;kar omogoča komu določeno dejavnost:;stvariteljska moč mu pojema;Ko je izumitelj predstavil svoj najnovejši izdelek, je dokazal, da stvariteljska moč mu pojema praktične inovacije.
moč;1285;kar omogoča komu določeno dejavnost:;obrambna moč države se veča;Po nedavnih reformah se obrambna moč države se veča, kar je opazno v novih varnostnih sistemih.
moč;1285;kar omogoča komu določeno dejavnost:;obrambna moč države se veča;Vladni strokovnjak je po napetih pogajanjih dejal, da se obrambna moč države se veča s posodobitvijo vojske.
moč;1285;kar omogoča komu določeno dejavnost:;obrambna moč države se veča;Občani so zaupali, ko so slišali, da se obrambna moč države, se veča zaradi vlaganja v kibernetsko varnost.
moč;1285;kar omogoča komu določeno dejavnost:;obrambna moč države se veča;Analitiki opozarjajo, da se obrambna moč države se veča le, če se hkrati izboljšajo diplomatske vezi.
moč;1285;kar omogoča komu določeno dejavnost:;obrambna moč države se veča;Na mednarodnem forumu je predstavnik države izpostavil, da se obrambna moč države se veča z razvojem novih orožnih sistemov.
moč;1285;kar omogoča komu določeno dejavnost:;ofenzivna moč vojske;Ofenzivna moč vojske je bila ključna pri osvoboditvi okupiranega ozemlja.
moč;1285;kar omogoča komu določeno dejavnost:;ofenzivna moč vojske;General je po vajah poudaril, da ofenzivna moč vojske zahteva visoko usposobljene čete.
moč;1285;kar omogoča komu določeno dejavnost:;ofenzivna moč vojske;Sodobni vojaški načrt povečuje ofenzivno moč vojske z integracijo letalnikov.
moč;1285;kar omogoča komu določeno dejavnost:;ofenzivna moč vojske;Policista je opazil, da ofenzivna moč vojske lahko vpliva tudi na civilno varnost v kriznih položajih.
moč;1285;kar omogoča komu določeno dejavnost:;ofenzivna moč vojske;Med analizo konfliktov so strokovnjaki ugotovili, da ofenzivna moč vojske ni vedno odločilna brez logistične podpore.
moč;1285;kar omogoča komu določeno dejavnost:;izobraževalna moč igrače;Izobraževalna moč igrače se pokaže, ko otrok z njo razume osnovne fizikalne pojave.
moč;1285;kar omogoča komu določeno dejavnost:;izobraževalna moč igrače;Starši so opazili, da izobraževalna moč igrače spodbudi radovednost pri najmlajših.
moč;1285;kar omogoča komu določeno dejavnost:;izobraževalna moč igrače;V trgovini so poudarjali, da izobraževalna moč igrače pomaga razvijati logično razmišljanje.
moč;1285;kar omogoča komu določeno dejavnost:;izobraževalna moč igrače;Pedagoginja je priporočila izobraževalno moč igrače kot orodje za učenje številk.
moč;1285;kar omogoča komu določeno dejavnost:;izobraževalna moč igrače;Ko je otroku podarila interaktivno kocko, je takoj izkoristil izobraževalno moč igrače za sestavljanje zgodbe.
moč;1285;kar omogoča komu določeno dejavnost:;izrazna moč jezika;Izrazna moč jezika je temeljna pri oblikovanju kulturne identitete.
moč;1285;kar omogoča komu določeno dejavnost:;izrazna moč jezika;Pesnica je izkoristila izrazno moč jezika, da je prenesla globoke čustvene izkušnje bralcev.
moč;1285;kar omogoča komu določeno dejavnost:;izrazna moč jezika;V diplomskem delu sem dokazal, da izrazna moč jezika vpliva na prepričljivost političnih govorov.
moč;1285;kar omogoča komu določeno dejavnost:;izrazna moč jezika;Učitelj slovenščine je učencem razložil, kako izrazna moč jezika omogoča natančno opisovanje občutkov.
moč;1285;kar omogoča komu določeno dejavnost:;izrazna moč jezika;Ko so prevajali knjigo, so se soočili z izzivom, da ohranijo izrazno moč jezika v novi različici.
moč;1285;kar omogoča komu določeno dejavnost:;zdravilna moč rastline;Zdravilna moč rastline je bila potrjena v kliničnih študijah proti vnetjem.
moč;1285;kar omogoča komu določeno dejavnost:;zdravilna moč rastline;Babica je verjela v zdravilno moč rastline, ki jo je uporabljala za lajšanje bolečin.
moč;1285;kar omogoča komu določeno dejavnost:;zdravilna moč rastline;Raziskovalci so odkrili, da zdravilna moč rastline izhaja iz posebnih antioksidantov.
moč;1285;kar omogoča komu določeno dejavnost:;zdravilna moč rastline;V tradicionalni medicini se zdravilna moč rastline uporablja za krepitev imunskega sistema.
moč;1285;kar omogoča komu določeno dejavnost:;zdravilna moč rastline;Ko je bolnik poiskal naravno rešitev, je zdravnik priporočil zdravilno moč rastline kot dopolnilo k terapiji.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v nekaterih družbenih ureditvah imajo državni organi veliko moč;V nekaterih družbenih ureditvah imajo državni organi veliko moč, ki jim omogoča sprejemanje odločitev, ki oblikujejo vsakdanje življenje državljanov.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v nekaterih družbenih ureditvah imajo državni organi veliko moč;V Švedski je moč vlade omejena s številnimi institucionalnimi kontrolami, vendar še vedno zadošča za izvajanje nacionalnih politik.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v nekaterih družbenih ureditvah imajo državni organi veliko moč;V federaciji so kompetence podprte z močjo, ki izhaja iz ustavnih pravic in pooblastil, zato lahko učinkovito usklajujejo zakonodajo med zveznimi državami.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v nekaterih družbenih ureditvah imajo državni organi veliko moč;V nekaterih avtoritarnih sistemih imajo državni organi čezmerno moč, kar pogosto vodi v zatiranje nasprotnih glasov.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v nekaterih družbenih ureditvah imajo državni organi veliko moč;V demokratičnih državah je moč državnih organov uravnotežena z močjo civilne družbe, ki lahko vpliva na javno politiko.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pridobil si je družbeno moč;Po uspešnem kampanj je pridobil si družbeno moč, ki mu je omogočila, da je vodil pomembne reforme v mestu.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pridobil si je družbeno moč;Zaradi dolgoletnega dela v nevladnih organizacijah je pridobila si izjemno moč med lokalnimi skupnostmi.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pridobil si je družbeno moč;Ko je postal vodja sindikata, je takoj pridobil si moč, ki je omogočila kolektivno pogajanje s podjetji.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pridobil si je družbeno moč;Njegova dejavnost na družbenih omrežjih je pripeljala do hitro rasti osebne moči, s katero je usmerjal javno razpravo.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pridobil si je družbeno moč;Zaradi strokovnih dosežkov je pridobila si akademsko moč, ki ji omogoča vplivanje na oblikovanje izobraževalnih politik.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;utrjevati moč demokratičnih institucij;Vladni predstavniki si prizadevajo utrjevati moč demokratičnih institucij, da bi zagotovili preglednost in odgovornost.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;utrjevati moč demokratičnih institucij;Sredstva, namenjena izobraževanju, so ključna za utrjevanje moči demokratičnih institucij, saj ustvarjajo informirane volivce.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;utrjevati moč demokratičnih institucij;Neodvisni mediji igrajo pomembno vlogo pri utrjevanju moči demokratičnih institucij, saj razkrivajo nepravilnosti in spodbujajo javno razpravo.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;utrjevati moč demokratičnih institucij;Redni nadzorni postopki pomagajo utrjevati moč demokratičnih institucij, saj preprečujejo zlorabo pooblastil.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;utrjevati moč demokratičnih institucij;Skupnostne pobude, kot so javni forumi, prispevajo k utrjevanju moči demokratičnih institucij, ker krepijo participacijo državljanov.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v kolektivu ima moč in ugled;V našem oddelku ima Janez moč in ugled, zato ga pogosto povabijo, da sprejme končne odločitve o projektih.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v kolektivu ima moč in ugled;Med učitelji je Marija cenjena zaradi svoje moči in ugleda, kar ji omogoča, da oblikuje učni načrt za celotno šolo.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v kolektivu ima moč in ugled;V športni ekipi je kapetanova moč in ugled ključna za motiviranje soigralcev in doseganje zmag.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v kolektivu ima moč in ugled;Na delovnem mestu je vodjaova moč in ugled temelj za učinkovito organiziranje ekipnih nalog.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;v kolektivu ima moč in ugled;V lokalni skupnosti sta svetovalčeva moč in ugled pogosto uporabljena za spodbujanje prostovoljnih projektov.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;nima dovolj moči, da bi lahko vplival na razmere;Ker nima dovolj moči, da bi lahko vplival na razmere, je moral poiskati podporo drugih aktivistov.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;nima dovolj moči, da bi lahko vplival na razmere;Njegova organizacija ni imela dovolj moči, da bi lahko vplivala na sprejemanje novih zakonov, zato so se odločili za pravno pot.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;nima dovolj moči, da bi lahko vplival na razmere;Brez zadostne moči, da bi lahko vplival na razmere v podjetju, je bil njen predlog za spremembo politike zavržen.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;nima dovolj moči, da bi lahko vplival na razmere;Ker je šola imela premalo moči, da bi lahko vplivala na državno izobraževalno politiko, so se učitelji združili v sindikat.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;nima dovolj moči, da bi lahko vplival na razmere;V tem malem mestu občinski svet ni imel dovolj moči, da bi lahko vplival na naložbene odločitve, zato so se prebivalci organizirali v pobudo.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pravica je brez moči;Čeprav je bila pravica zagotovljena v ustavi, je brez moči ostala le formalnost, ki je nihče ni upošteval.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pravica je brez moči;Pravica do svobode izražanja je brez moči, ko ni podprta z učinkovitim pravnim sistemom.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pravica je brez moči;V nekaterih državah je pravica do poštenega sojenja formalna, a brez moči, ki bi jo zagotovila neodvisna pravosodna institucija.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pravica je brez moči;Pravica do izobraževanja je brez moči, če se ne zagotavljajo sredstva za dostop do šol.
moč;1286;kar omogoča komu, da uveljavlja svojo voljo:;pravica je brez moči;Čeprav je človekova pravica do zdravja zapisano v mednarodnih konvencijah, ostaja brez moči brez ustrezne zdravstvene infrastrukture.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;njena bližina ima čudno moč;Ko sem se približal njeni hiši, sem opazil, da njena bližina ima čudno moč, ki je vplivala na moje razpoloženje.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;njena bližina ima čudno moč;Včeraj je v parku čutil, da njena bližina ima čudno moč, ki je ljudi spodbujala k tišjemu pogovoru.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;njena bližina ima čudno moč;Starejša gospa je verjela, da njena bližina ima čudno moč, ki lahko pomiri razburjene otroke.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;njena bližina ima čudno moč;Po dolgem dnevu sem ugotovil, da njena bližina ima čudno moč, ki mi je omogočila, da sem spet našel mir.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;njena bližina ima čudno moč;Mnogi so se spraševali, zakaj njena bližina ima čudno moč, ki spreminja razpoloženje vseh, ki vstopijo v njeno sobo.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;starši so pri doraščajočih otrocih pogosto brez moči;V mnogih družinah starši so pri doraščajočih otrocih pogosto brez moči, ko gre za razumevanje njihovega iskanja identitete.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;starši so pri doraščajočih otrocih pogosto brez moči;Nekateri učitelji opazijo, da starši so pri doraščajočih otrocih pogosto brez moči, da bi jim ponudili ustrezne nasvete.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;starši so pri doraščajočih otrocih pogosto brez moči;Ko se najstnik spopada z izzivi, so starši pri doraščajočih otrocih pogosto brez moči, da bi preprečili napake.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;starši so pri doraščajočih otrocih pogosto brez moči;V sodobnih časih so starši pri doraščajočih otrocih pogosto brez moči, ker se svet spreminja prehitro za tradicionalne metode.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;starši so pri doraščajočih otrocih pogosto brez moči;Raziskave kažejo, da starši so pri doraščajočih otrocih pogosto brez moči, ko gre za vplivanje na njihove medijske navade.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;moč propagande, vzgoje, zgleda;Moč propagande, vzgoje, zgleda je tista, ki oblikuje mnenja generacij in usmerja družbeni razvoj.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;moč propagande, vzgoje, zgleda;V zgodovinskih knjigah se pogosto omenja moč propagande, vzgoje, zgleda kot ključni dejavnik pri utrjevanju političnih sistemov.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;moč propagande, vzgoje, zgleda;Učitelji se zavedajo, da imajo moč propagande, vzgoje, zgleda, ki lahko spodbudi kritično mišljenje ali ga nasproti zaduši.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;moč propagande, vzgoje, zgleda;V oglaševalskih kampanjah je izkoriščena moč propagande, vzgoje, je videti, da se potrošniki povežejo z blagovno znamko na čustveni ravni.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;moč propagande, vzgoje, zgleda;Družbeni aktivisti izkoriščajo moč propagande, vzgoje, je videti, da bi spremenili zaznavanje javnosti o okolijskih vprašanjih.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;nad njim nima več moči;Po dolgem boju je končno ugotovila, da nad njim nima več moči, in se je lahko osvobodila starega bremena.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;nad njim nima več moči;Ko je nova uprava prišla na oblast, je hitro spoznala, da nad njim nima več moči, zato je sprejela sveže ukrepe.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;nad njim nima več moči;Po razkritju skritega načrta je javnost spoznala, da nad njim nima več moči in je začela zahtevati spremembe.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;nad njim nima več moči;V tem trenutku je jasno postalo, da nad njim nima več moči, kar je odprlo vrata novim priložnostim za sodelovanje.
moč;1287;kar omogoča komu, da vpliva, učinkuje na koga, kaj:;nad njim nima več moči;Stari režim je padel, ker je večina ljudi spoznala, da nad njim nima več moči in se je odločila za demokratične reforme.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;starčku pešajo, pojemajo moči;Ko starčku pešajo, pojemaj moči, se v njem prebudi nova energija, ki ga podpre čez ves dan.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;starčku pešajo, pojemajo moči;Med jutranjo vadbo starčku pešajo, pojemaj moči, kar mu omogoča, da ohranja vitalnost kljub starosti.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;starčku pešajo, pojemajo moči;Čeprav ga bole, starčku pešajo, pojemaj moči, in s tem si povrne moč za nadaljnje sprehode.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;starčku pešajo, pojemajo moči;Ob koncu dneva, ko starčku pešajo, pojemaj moči, se njegova duša napolni z mirnostjo.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;starčku pešajo, pojemajo moči;Ko se starček sprehodi po travniku, starčku pešajo, pojemaj moči, kar ga ohranja pri življenju.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;obrezana rastlina je počasi izgubljala moč;Po dolgem Sušu je obrezana rastlina je počasi izgubljala moč, zato smo jo podprli z dodatnim zalivanjem.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;obrezana rastlina je počasi izgubljala moč;Ko sem jo prvič opazil, obrezana rastlina je počasi izgubljala moč, a kmalu se je okrepila s svežim soncem.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;obrezana rastlina je počasi izgubljala moč;V vrtnarstvu je pomembno, da ne dopustimo, da obrezana rastlina je počasi izgubljala moč, saj to oslabi njen razvoj.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;obrezana rastlina je počasi izgubljala moč;Po nepravilni obrezali je obrezana rastlina je počasi izgubljala moč, zato smo jo z nežnim oporo ponovno vzpostavili.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;obrezana rastlina je počasi izgubljala moč;V času jeseni obrezana rastlina je počasi izgubljala moč, a z dodatnimi hranili se je njena vitalnost povrnila.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;lirika je črpala moč iz narodne pesmi;V pesniški večer je lirika črpala moč iz narodne pesmi, kar je navdalo poslušalce z občutkom skupnosti.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;lirika je črpala moč iz narodne pesmi;Ko je avtor iskal navdih, je lirika, je črpala moč iz narodne pesmi, ki je odmevala čez stoletja.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;lirika je črpala moč iz narodne pesmi;V moderni zbirki je lirika črpala moč iz narodne pesmi, zato so bralci čutili globoko povezavo s tradicijo.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;lirika je črpala moč iz narodne pesmi;Ob razvoju novega romana je lirika črpala moč iz narodne pesmi, kar je dala besedilu posebno resonanco.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;lirika je črpala moč iz narodne pesmi;V učni uri je učitelj pojasnil, da lirika je črpala moč iz narodne pesmi, kar pojasni njeno trajno pomembnost.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;življenjska moč;Njegova življenjska moč je bila vidna v vsakem koraku, ki ga je naredil po dolgem sporu.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;življenjska moč;S staranjem se je njena življenjska moč spremenila v tiho vztrajnost, ki jo je navdihovala družina.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;življenjska moč;Po naporni poti do vrha se je v njej prebujala neustavljiva življenjska moč, ki jo je poganjala naprej.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;življenjska moč;Ko se je soočila s težavami, je izkoristila svojo življenjsko moč, da je presegla vse ovire.
moč;1288;sposobnost za obstajanje, bivanje, razvijanje:;življenjska moč;V starodavnem drevesu je bila skrita življenjska moč, ki je podpirala celotno gozdno ekosistemi.
moč;1289;sposobnost za prenašanje duševnih naporov:;v delu je dobil moč, da je vzdržal v takih razmerah;V novem delovnem izzivu je dobil moč, da je vzdržal v takih razmerah.
moč;1289;sposobnost za prenašanje duševnih naporov:;v delu je dobil moč, da je vzdržal v takih razmerah;Ko je prevzel vodstvo, je v delu dobil moč, da je vzdržal v takih razmerah.
moč;1289;sposobnost za prenašanje duševnih naporov:;v delu je dobil moč, da je vzdržal v takih razmerah;Po dolgem treningu je v službi dobila moč, da je vzdržala v takih razmerah.
moč;1289;sposobnost za prenašanje duševnih naporov:;v delu je dobil moč, da je vzdržal v takih razmerah;V tem zahtevnem projektu je ekipa dobila moč, da je vzdržala v takih razmerah.
